document_id,term,term_type,frequency,frequency_score,first_position,last_position,distance_from_start,distance_from_end,earliness_score,persistence_score,relevance_score,extended_relevance_score,relevance_class,document_frequency,idf,phrase_boost,concept_weight
L1,matteo,unigram,1,0.025,0.006186,0.006186,0.006186,0.993814,0.993814,0.0,0.509407,0.308144,top,9,1.5306282510621703,1.0,0.47165391179530136
L1,meaning,unigram,2,0.05,0.890722,0.913402,0.890722,0.086598,0.109278,0.02268,0.079639,0.059588,medium,11,1.3483066942682158,1.0,0.08034289929805445
L1,minimize,unigram,1,0.025,0.329897,0.329897,0.329897,0.670103,0.670103,0.0,0.347552,0.211031,medium,5,2.041453874828161,1.0,0.4308100526588617
L1,minimum,unigram,21,0.525,0.010309,0.946392,0.010309,0.053608,0.989691,0.936082,0.757345,0.787732,top,3,2.4469189829363254,1.0,1.9275163842663974
L1,name,unigram,1,0.025,0.237113,0.237113,0.237113,0.762887,0.762887,0.0,0.393943,0.238866,medium,11,1.3483066942682158,1.0,0.32206462683307163
L1,natural,unigram,1,0.025,0.0,0.0,0.0,1.0,1.0,0.0,0.5125,0.31,top,14,1.125163142954006,1.0,0.3488005743157419
L1,natural language processing,domain_phrase,1,0.025,0.006186,0.006186,0.006186,0.993814,0.993814,0.0,0.509407,0.308144,top,10,1.4353180712578455,1.25,0.5528558146870969
L1,need,unigram,2,0.05,0.117526,0.573196,0.117526,0.426804,0.882474,0.45567,0.466237,0.421443,medium,14,1.125163142954006,1.0,0.4741921304559652
L1,non,unigram,1,0.025,0.690722,0.690722,0.690722,0.309278,0.309278,0.0,0.167139,0.102784,medium,11,1.3483066942682158,1.0,0.1385843552636643
L1,number,unigram,2,0.05,0.105155,0.331959,0.105155,0.668041,0.894845,0.226804,0.472423,0.356495,medium,12,1.2682639865946794,1.0,0.45212976990107023
L1,object,unigram,1,0.025,0.925773,0.925773,0.925773,0.074227,0.074227,0.0,0.049613,0.032268,bottom,8,1.6359887667199966,1.0,0.052790085524520844
L1,optimal,unigram,2,0.05,0.703093,0.709278,0.703093,0.290722,0.296907,0.006186,0.173454,0.110928,medium,4,2.2237754316221157,1.0,0.24667896107897805
L1,path,unigram,6,0.15,0.284536,0.694845,0.284536,0.305155,0.715464,0.410309,0.432732,0.397732,medium,4,2.2237754316221157,1.0,0.8844666499699273
L1,performance,unigram,1,0.025,0.719588,0.719588,0.719588,0.280412,0.280412,0.0,0.152706,0.094124,medium,6,1.8873031950009027,1.0,0.17764052592626497
L1,permission,unigram,1,0.025,0.68866,0.68866,0.68866,0.31134,0.31134,0.0,0.16817,0.103402,medium,2,2.734601055388106,1.0,0.28276321832924095
L1,point,unigram,2,0.05,0.962887,0.96701,0.962887,0.03299,0.037113,0.004124,0.043557,0.032371,bottom,9,1.5306282510621703,1.0,0.04954796711513351
L1,precise,unigram,1,0.025,0.88866,0.88866,0.88866,0.11134,0.11134,0.0,0.06817,0.043402,bottom,2,2.734601055388106,1.0,0.11868715500595459
